Timestamp,Gender,Age,Education,Region,Marital status,Delivery platform,Job duration (experience),Monthly income,Type of vehicle,Mode of carrying deliveries,Working Hours per Day,Working days per week,Number of deliveries per day,Duration of rest break,Type of break,Tobacco Consumption,Alcohol Consumption,"In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Row 1Neck]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Shoulders]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Upper back]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Lower back]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Elbows]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Wrists / Hands]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Hips / Thighs]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Knees]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Ankles / Feet]","In the past 7 days,  have you experienced discomfort in [Neck]","In the past 7 days,  have you experienced discomfort in [Lower back]","In the past 7 days,  have you experienced discomfort in [Knees]","In the past 7 days,  have you experienced discomfort in [Wrist/Hands]",Has this discomfort reduced your delivery performance?,Have you ever taken leave due to body pain caused by delivery work?,Have you consulted a doctor or physiotherapist for work-related pain?,Does riding/driving for long hours increase your discomfort?,Does carrying heavy packages worsen your discomfort?,"How mentally demanding was your delivery shift (e.g., navigating routes, managing multiple orders, handling customer calls, using the app)? [.]","How physically demanding was your delivery shift (e.g., riding/driving long distances, climbing stairs, carrying packages, weather conditions)? [.]","How rushed or time-pressured did you feel while completing your deliveries (e.g., delivery deadlines, traffic delays, app timers)? [.]",How satisfied were you with your ability to complete deliveries accurately and on time during your shift? [.],"How much effort did you have to put in to maintain your delivery performance (e.g., speed, accuracy, customer interaction)? [.]","How stressed, frustrated, or emotionally strained did you feel during your delivery shift (e.g., due to customer behaviour, traffic, ratings, earnings pressure)? [.]","Overall, how hard did your delivery work feel today? [Your rating]",How tired did your legs feel while walking/riding? [Your rating],"How hard was it to breathe during deliveries (due to speed, heat, stairs, etc.)? [Your rating]",How hard did lifting or carrying parcels feel? [Your rating],How physically stressful was working in traffic/weather conditions? [Your rating],"At the end of your shift, how exhausted did your body feel? [Your rating]",age_ord,education_ord,income_ord,job_duration_ord,work_hours_ord,work_days_ord,deliveries_ord,rest_break_ord,work_hours_num,deliveries_num,work_days_num,rest_break_num,nmq_neck,nmq_shoulders,nmq_upper_back,nmq_lower_back,nmq_elbows,nmq_wrists_hands,nmq_hips_thighs,nmq_knees,nmq_ankles_feet,d7_neck,d7_lower_back,d7_knees,d7_wrist_hands,out_reduced_perf,out_taken_leave,out_consulted_doctor,out_riding_worsens,out_carrying_worsens,vehicle_rank,carrying_contact_rank,gender_rank,region_rank,marital_rank,platform_rank,break_type_rank,tobacco_ord,alcohol_ord,workload_score,fatigue_score,force_exertion,vibration_index,workload_x_fatigue,workload_x_age,force_x_age,fatigue_x_jobdur,deliv_x_days,discomfort,exposure_severity,rank,upper_arm,lower_arm,wrist,wrist_twist,neck_position,trunk_position,legs,muscle_a,force_a,muscle_b,force_b,rula_table_a,rula_table_b,rula_table_c,qec_back,qec_shoulder_arm,qec_wrist_hand,qec_neck,qec_driving,qec_vibration,qec_work_pace,qec_stress
3/3/2026 0:41:28,Male,25-35,Degree/master's degree or higher,Local,Married,Blinkit,<6 months,"10,000 - 19,999",Scooter,Bike storage / carrier,3-5 hrs,7,11-20,5-15 min,Uneven,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,25,75,75,0,4,2,0,0,4,2,1,2,1,0,1,3,1,1,4,15,7.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,37.5,2.0,0,4,0.75,3.75,0,0.0,105.0,0,0.667,181,2,2,2,1,3,2,1,0.0,0,0,0,3,3,3,24,22,26,14,9,9,4,9
3/3/2026 0:44:51,Female,25-35,High school,Local,Married,Blinkit,6 -12 months,"10,000 - 19,999",Scooter,Handheld,6-8 hrs,7,21-30,>30 min,Even,Never,Never,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,50,50,0,75,25,0,6,2,4,3,10,7,1,1,1,1,2,3,2,3,7,25,7.0,40.0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,4,2,1,1,1,1,0,0,25.0,5.33,3,7,1.332,2.5,3,5.33,175.0,1,1.814,73,2,2,2,2,3,3,1,1.0,0,0,2,3,4,6,30,28,26,16,9,9,4,9
3/3/2026 0:47:05,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,<6 months,"20,000 - 35,000",Motor bike,Backpack,> 8 hrs,7,>=31,>30 min,Uneven,Never,Never,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,50,50,50,75,75,25,1,2,0,0,8,9,0,2,2,0,3,3,3,3,9,35,7.0,40.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,1,0,0,0,45.8,3.33,0,18,1.525,0.0,0,0.0,245.0,1,1.703,93,3,2,3,1,3,2,1,1.0,1,1,0,4,3,6,28,30,22,26,6,6,6,4
3/3/2026 0:49:52,Male,<25,High school,Local,Unmarried,Blinkit,6 -12 months,"<10,000",Motor bike,Bike handle,3-5 hrs,3-4,11-20,16-30min,Even,Never,Never,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,50,0,50,25,50,50,10,3,0,0,6,6,0,1,0,1,1,1,1,2,4,15,3.5,23.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,3,1,1,0,1,1,0,0,45.8,4.17,0,8,1.91,0.0,0,4.17,52.5,1,1.13,160,1,2,2,1,3,2,1,1.0,0,1,0,2,3,4,24,30,36,16,9,9,9,9
3/3/2026 0:52:25,Male,>=46,High school,Local,Married,Blinkit,6 -12 months,"10,000 - 19,999",Motor bike,Backpack,6-8 hrs,3-4,11-20,16-30min,Uneven,Never,Never,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,25,25,25,50,50,75,6,1,1,3,6,6,3,1,1,1,2,1,1,2,7,15,3.5,23.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,1,1,1,1,0,0,0,41.7,3.83,3,14,1.597,12.51,9,3.83,52.5,1,1.314,148,2,2,2,1,2,3,1,1.0,0,1,0,3,4,5,24,26,26,14,9,9,4,9
3/3/2026 0:54:26,Male,>=46,High school,Local,Married,Blinkit,<6 months,"10,000 - 19,999",Scooter,Bike storage / carrier,6-8 hrs,7,11-20,5-15 min,Uneven,Never,Never,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,50,100,50,5,5,5,3,6,3,3,1,1,0,2,3,1,1,7,15,7.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,45.8,4.5,3,7,2.061,13.74,9,0.0,105.0,1,1.5,120,3,1,2,1,2,2,1,1.0,0,1,0,4,2,5,24,28,26,14,9,9,4,9
3/3/2026 0:56:37,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,12 - 24 months,"20,000 - 35,000",Motor bike,Handheld,> 8 hrs,< 3,>=31,5-15 min,Uneven,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,100,100,100,100,100,8,8,8,1,8,3,0,2,2,2,3,0,3,1,9,35,2.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,1,0,1,0,0,0,83.3,6.0,1,18,4.998,0.0,0,12.0,70.0,0,1.667,98,3,2,2,1,3,2,1,1.0,0,0,2,4,3,6,28,32,32,16,9,9,4,9
3/3/2026 0:58:44,Male,25-35,Degree/master's degree or higher,Local,Married,Blinkit,12 - 24 months,"20,000 - 35,000",Scooter,Bike storage / carrier,> 8 hrs,7,21-30,16-30min,Uneven,Never,Never,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,25,75,25,75,75,100,2,6,7,1,5,6,1,2,2,2,3,3,2,2,9,25,7.0,23.0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,54.2,4.5,1,9,2.439,5.42,1,9.0,175.0,1,2.389,21,3,2,2,1,1,3,1,1.0,3,1,2,4,3,7,30,30,40,18,9,4,9,9
3/3/2026 1:00:44,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,<6 months,"20,000 - 35,000",Motor bike,Backpack,> 8 hrs,5-6,>=31,5-15 min,Uneven,Never,Never,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,100,75,50,100,100,100,10,5,10,4,8,10,0,2,2,0,3,2,3,1,9,35,5.5,10.0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,2,2,1,1,0,1,0,0,0,70.8,7.83,4,18,5.544,0.0,0,0.0,192.5,1,2.87,6,1,1,2,1,3,1,1,1.0,2,1,2,2,3,7,28,38,42,16,9,9,6,9
3/3/2026 1:03:02,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,<6 months,"20,000 - 35,000",Motor bike,Handheld,6-8 hrs,3-4,21-30,16-30min,Even,Never,Never,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,50,50,50,2,3,3,3,5,5,0,2,2,0,2,1,2,2,7,25,3.5,23.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,1,0,1,1,0,0,33.3,3.5,3,14,1.165,0.0,0,0.0,87.5,1,1.389,139,2,1,2,1,2,2,1,1.0,2,1,0,3,2,5,26,24,28,18,9,6,6,6
