rider_id,timestamp,force_risk,force_risk_code,repetition_risk,repetition_risk_code,duration_risk,duration_risk_code,vibration_risk,vibration_risk_code,contact_stress_risk,contact_stress_risk_code,posture_risk,posture_risk_code
0,3/3/2026 0:41:28,Low,0,Medium,1,Low,0,Low,0,Low,0,Not Assessed,
1,3/3/2026 0:44:51,Low,0,Low,0,Medium,1,Low,0,High,2,Not Assessed,
2,3/3/2026 0:47:05,Low,0,Medium,1,High,2,High,2,Medium,1,Not Assessed,
3,3/3/2026 0:49:52,Low,0,Medium,1,Low,0,Low,0,Medium,1,Not Assessed,
4,3/3/2026 0:52:25,Low,0,Low,0,Medium,1,Medium,1,High,2,Not Assessed,
5,3/3/2026 0:54:26,Low,0,Low,0,Medium,1,Low,0,Low,0,Not Assessed,
6,3/3/2026 0:56:37,Low,0,Medium,1,High,2,High,2,High,2,Not Assessed,
7,3/3/2026 0:58:44,Low,0,Low,0,High,2,Medium,1,Low,0,Not Assessed,
8,3/3/2026 1:00:44,Medium,1,Medium,1,High,2,High,2,Medium,1,Not Assessed,
9,3/3/2026 1:03:02,Low,0,Low,0,Medium,1,Medium,1,High,2,Not Assessed,
10,3/3/2026 1:06:19,Low,0,Medium,1,High,2,Medium,1,High,2,Not Assessed,
11,3/3/2026 1:08:30,High,2,Low,0,High,2,High,2,High,2,Not Assessed,
12,3/3/2026 1:10:40,Low,0,High,2,Medium,1,Low,0,Low,0,Not Assessed,
13,3/3/2026 1:12:54,Low,0,Medium,1,High,2,Medium,1,Low,0,Not Assessed,
14,3/3/2026 1:15:00,Low,0,Medium,1,Low,0,Low,0,Low,0,Not Assessed,
15,3/3/2026 1:17:27,Low,0,Low,0,High,2,High,2,High,2,Not Assessed,
16,3/10/2026 15:28:03,High,2,Low,0,High,2,Medium,1,Medium,1,Not Assessed,
17,3/10/2026 15:42:32,Medium,1,Low,0,Medium,1,Low,0,Medium,1,Not Assessed,
18,3/10/2026 15:52:41,Low,0,Low,0,Medium,1,Low,0,High,2,Not Assessed,
19,3/10/2026 15:59:40,High,2,Low,0,Medium,1,Medium,1,Medium,1,Not Assessed,
20,3/10/2026 16:03:38,Medium,1,Low,0,Medium,1,Low,0,Medium,1,Not Assessed,
