target,model,true,predicted,count
force,HistGBM,Low,Low,69
force,HistGBM,Low,Medium,14
force,HistGBM,Low,High,7
force,HistGBM,Medium,Low,20
force,HistGBM,Medium,Medium,24
force,HistGBM,Medium,High,13
force,HistGBM,High,Low,5
force,HistGBM,High,Medium,11
force,HistGBM,High,High,19
repetition,RandomForest,Low,Low,9
repetition,RandomForest,Low,Medium,14
repetition,RandomForest,Low,High,3
repetition,RandomForest,Medium,Low,6
repetition,RandomForest,Medium,Medium,51
repetition,RandomForest,Medium,High,25
repetition,RandomForest,High,Low,1
repetition,RandomForest,High,Medium,21
repetition,RandomForest,High,High,52
duration,RandomForest,Low,Low,28
duration,RandomForest,Low,Medium,6
duration,RandomForest,Low,High,3
duration,RandomForest,Medium,Low,12
duration,RandomForest,Medium,Medium,18
duration,RandomForest,Medium,High,26
duration,RandomForest,High,Low,8
duration,RandomForest,High,Medium,16
duration,RandomForest,High,High,65
vibration,ExtraTrees,Low,Low,42
vibration,ExtraTrees,Low,Medium,18
vibration,ExtraTrees,Low,High,7
vibration,ExtraTrees,Medium,Low,21
vibration,ExtraTrees,Medium,Medium,38
vibration,ExtraTrees,Medium,High,9
vibration,ExtraTrees,High,Low,9
vibration,ExtraTrees,High,Medium,13
vibration,ExtraTrees,High,High,25
contact_stress,RandomForest,Low,Low,40
contact_stress,RandomForest,Low,Medium,17
contact_stress,RandomForest,Low,High,11
contact_stress,RandomForest,Medium,Low,16
contact_stress,RandomForest,Medium,Medium,32
contact_stress,RandomForest,Medium,High,10
contact_stress,RandomForest,High,Low,7
contact_stress,RandomForest,High,Medium,12
contact_stress,RandomForest,High,High,37
posture,HistGBM,Medium,Medium,26
posture,HistGBM,Medium,High,3
posture,HistGBM,High,Medium,2
posture,HistGBM,High,High,151
