target,model,cv_accuracy,cv_accuracy_std,cv_f1_macro,cv_precision_macro,cv_recall_macro,train_accuracy,overfit_gap
force,LogReg,0.522,0.056,0.474,0.477,0.506,0.662,0.14
force,DecisionTree,0.489,0.065,0.437,0.448,0.447,1.0,0.511
force,RandomForest,0.495,0.073,0.402,0.433,0.405,1.0,0.505
force,XGBoost,0.527,0.092,0.465,0.478,0.469,1.0,0.473
repetition,LogReg,0.51,0.106,0.484,0.478,0.543,0.626,0.116
repetition,DecisionTree,0.681,0.059,0.604,0.607,0.625,1.0,0.319
repetition,RandomForest,0.692,0.058,0.549,0.598,0.552,1.0,0.308
repetition,XGBoost,0.697,0.068,0.646,0.707,0.643,1.0,0.303
duration,LogReg,0.856,0.055,0.853,0.865,0.862,0.924,0.068
duration,DecisionTree,0.994,0.011,0.992,0.994,0.99,1.0,0.006
duration,RandomForest,0.956,0.038,0.947,0.962,0.942,1.0,0.044
duration,XGBoost,1.0,0.0,1.0,1.0,1.0,1.0,0.0
vibration,LogReg,0.472,0.043,0.458,0.465,0.476,0.574,0.102
vibration,DecisionTree,0.423,0.064,0.414,0.418,0.418,1.0,0.577
vibration,RandomForest,0.477,0.074,0.464,0.479,0.466,1.0,0.523
vibration,XGBoost,0.516,0.047,0.51,0.523,0.512,1.0,0.484
contact_stress,LogReg,0.566,0.107,0.549,0.565,0.562,0.654,0.088
contact_stress,DecisionTree,0.55,0.061,0.54,0.553,0.546,1.0,0.45
contact_stress,RandomForest,0.588,0.046,0.577,0.605,0.586,1.0,0.412
contact_stress,XGBoost,0.588,0.04,0.574,0.593,0.585,1.0,0.412
posture,LogReg,0.83,0.033,0.745,0.718,0.818,0.882,0.052
posture,DecisionTree,0.852,0.036,0.73,0.737,0.731,1.0,0.148
posture,RandomForest,0.891,0.054,0.765,0.854,0.73,1.0,0.109
posture,XGBoost,0.852,0.04,0.711,0.753,0.707,1.0,0.148
