feature,median_no_pain,median_with_pain,U_statistic,p_value,significant
age_ord,0.0,1.0,1228.0,0.0001,True
job_duration_ord,0.0,1.0,1261.5,0.0002,True
workload_score,41.7,50.0,1291.0,0.0007,True
income_ord,1.0,2.0,1410.5,0.0023,True
fatigue_score,3.75,4.585,1473.5,0.0078,True
force_exertion,3.0,4.0,1585.0,0.0247,True
education_ord,2.0,2.0,2606.0,0.0305,True
deliveries_num,15.0,25.0,1662.0,0.0413,True
vibration_index,9.0,9.0,1945.0,0.4024,False
work_days_num,5.5,5.5,1963.0,0.4188,False
work_hours_num,7.0,8.0,1979.5,0.4558,False
rest_break_num,10.0,10.0,2287.0,0.5938,False
